ANDFIELD COORDS 
[3 26468]
2.546484616375934706e-01 2.627772802823277187e-01 2.693199879719919143e-01
7.498785633800024719e-01 2.710052308617538763e-01 2.830332389377021585e-01
2.560032647450491972e-01 2.633390279122483912e-01 2.889811550192150635e-01
2.531945265954458901e-01 2.773827186602649819e-01 2.868663404124549565e-01
2.616207410442558112e-01 7.498455194017717984e-01 3.086092780882075948e-01
2.555736930280509966e-01 2.652886226278554083e-01 3.191503071437776784e-01
2.583163432211931232e-01 7.458141540576352924e-01 3.181920317750894789e-01
2.603320258932613207e-01 2.666103817570805168e-01 3.192494390784695324e-01
2.604972457844144662e-01 2.632729399557871552e-01 3.238095080742960929e-01
2.588450468728831222e-01 2.541528019641340341e-01 3.210668578811540219e-01
2.598033222415713217e-01 2.661477660618517538e-01 3.269486860062056355e-01
2.598363662198019397e-01 2.648590509108572633e-01 3.209677259464621679e-01
2.608607295449513752e-01 2.624137965217908652e-01 3.299556880251927060e-01
2.653877545625472623e-01 2.572919798960436322e-01 3.420828280358328977e-01
2.553754291586672887e-01 2.652225346713941723e-01 3.695423739454840595e-01
2.547475935722853801e-01 2.540867140076727981e-01 3.808764584785891416e-01
2.555406490498204342e-01 2.589441788075750317e-01 3.803477548268990871e-01
2.545823736811322346e-01 2.675025691693074248e-01 3.779025004378326891e-01
2.534588784212908896e-01 2.624137965217908652e-01 3.719215403780892215e-01
2.595389704157262667e-01 2.664451618659273713e-01 3.863287148866426657e-01
2.579528594606561587e-01 2.685930204509181518e-01 3.835530207152699766e-01
2.665442938006192808e-01 2.561354406579716692e-01 4.243292898518638556e-01
2.712695826875989313e-01 2.545162857246709986e-01 4.326894163442125407e-01
2.701130434495269683e-01 2.635042478034015367e-01 4.314007011932180502e-01
2.727235177297465119e-01 2.740783208372022384e-01 4.523836273696663079e-01
2.701130434495269683e-01 2.569945840919679592e-01 4.761422477174871992e-01
2.676677890604605703e-01 2.546815056158240886e-01 4.866072756231268337e-01
2.723269899909789848e-01 2.547475935722853801e-01 4.847105512726888055e-01
2.723930779474402764e-01 2.576885076348111592e-01 4.937712101035267587e-01
2.680643167992280973e-01 2.607946415884900837e-01 5.027353805179313184e-01
2.716991544045970763e-01 2.593076625681118852e-01 4.973819256047873894e-01
2.722278580562871309e-01 2.610259494361045207e-01 5.029224094347166663e-01
2.754661679228885829e-01 2.518066795097595456e-01 4.908765576105238448e-01
2.682295366903811873e-01 2.572258919395823962e-01 5.128937603055907513e-01
2.793653573541025614e-01 2.548136815287466161e-01 5.674758035469406048e-01
2.497579528594606746e-01 2.823723593730896320e-01 5.964553724552006386e-01
2.760279155528092554e-01 2.545823736811322346e-01 5.808255707521139399e-01
2.666103817570805168e-01 2.716330664481357848e-01 6.111599427678297003e-01
2.621164007177152477e-01 2.764244432915767824e-01 6.148278243514293528e-01
2.566971882878923417e-01 2.814471279826320504e-01 6.166121991758831689e-01
2.708400109706007863e-01 2.753339920099660554e-01 6.131095374834366618e-01
2.542188899205953256e-01 2.654207985407779358e-01 6.397099399590915336e-01
2.585806950470380672e-01 2.735826611637428574e-01 6.357777065496469371e-01
2.591424426769587397e-01 2.650903587584716448e-01 6.352820468761875006e-01
2.577876395695030132e-01 2.725252538603627483e-01 6.572893363777851938e-01
2.578206835477336867e-01 2.660816781053904623e-01 6.900028748261060052e-01
2.608937735231819932e-01 2.690225921679162413e-01 6.916220297594067867e-01
2.627772802823277187e-01 2.716661104263664583e-01 6.911263700859473502e-01
2.667425576700029888e-01 2.712034947311376953e-01 6.972395060586134008e-01
2.609268175014126667e-01 2.702121753842188223e-01 7.141580229126944790e-01
2.656521063883923173e-01 2.708069669923701683e-01 7.039804776176613599e-01
2.710382748399845498e-01 2.728887376208996574e-01 7.228155452091188371e-01
2.715669784916745488e-01 2.701130434495269683e-01 7.128693077617000995e-01
2.721287261215952213e-01 2.710713188182151678e-01 7.175945966486797500e-01
2.673703932563848973e-01 2.710052308617538763e-01 7.215268300581243466e-01
2.649912268237797353e-01 2.697165157107594413e-01 7.183215641697535681e-01
2.659495021924679348e-01 2.702452193624494958e-01 7.287634612906317422e-01
2.654868864972391718e-01 2.697826036672207328e-01 7.329270025476907202e-01
2.574571997871967777e-01 2.656851503666229353e-01 7.409566892577330588e-01
